0	5	0
35	20	0
0	0	0
0	0	0
38.5	42	40
60	60	0
10	0	0
0	5	0
24	19	19
0	45.5	45
16	6	1
60	45	55
50	0	0
5.5	5	6
50	70	0
0	15	0
0	48.5	0
0	0	0
0	30	0
30	20	0
30	25	0
10	10	15
56	70	0
30	30	35
80	70	60
15	10	15
49	49.5	49
70	80	70
70	70	70
60	80	60
65	60	65
45	35	45
20	20	20
60	70	60
35	40	35
50	40	50
40	50	40
30	20	30
15	15	15
50	60	65
18	14	16
20	20	20
30	30	31
20	25	25
3	6	5
88	85	80
20	20	30
30	35	50.5
0	0	15
10	12	10
10	40	10
12.5	15	18
10	10	10
25	30	40
50	60	70
15.5	10	15
0	0	20
4	5	5
5	10	20
15	10	20
18.3	19.3	20.5
45	46	45
5	5	10
4	4	3
0	30	50
30	40	50
6	8.5	7.5
2.5	2.5	2.5
10	1	7
1	1	2
8.5	10	15
10	10	10
60	60	80
22	25	18
90	90	90
80	80	75
0	0	0
50	45	45
65	70	60
55	80	75
35.75	39.75	41.25
50	50	50
40	35	20
25	25	44
20	25	20
50	60	50
29	24	23
50	60	90.5
46.5	45.5	55
30	30	50
40.1	39.1	20
46	46.5	45
6	4	5
15	10	20
47	48	50
0	0	0
57.5	60	44
0	12	10
2	5	0
46	45	46.5
6	8	10
10.5	15	15
55.5	55.5	44
55	75	60
60.5	65.5	75.5
20	20	20
28	25	20
50	65	60
20	20	50
50.5	51.75	45.5
49	50	49
25	25	25
40	45	50
2.51	8.26	9.78
30.5	35.5	20
4	5	2
35	30	20
50	50	56
20.25	21.25	15.25
10	10	5
50	0	50
10	11	7
5	5	5
45	50	45
0	0	0
0	10	0
44	44	45
82.55	90.35	75.25
50.5	50.5	50.5
20	30	30
10	15	10
15	15	20
60.75	61	56.5
60	55	65
40	60	40
15.2	15.2	15.2
43.5	40.5	44.5
10	8	15
75	73	60
18	20	25
15	14	18
0	0	0
4	4	4
0	0	0
0	0	0
15.5	15.5	2
5	5	0
10.5	10.5	10.5
12.5	10.5	15.5
35.5	25.5	45.5
5	5	5
30	40	25
4	3	6
45	0	65
35.5	30	40
15.75	25.25	12.5
0	10	5
50	50	55
14	13	12
11	10	5
45	65	25
0	0	20
35	30	15
28.2	30.5	22.5
45	48	38
50	50	55
20	15	25
28	30	32
3	2	2
55	55	60
54	54	64
25.5	25	20.5
5	25	0
25	25	35
10	20	5
20	0	50
10	10	22
5.5	25.25	30
3.5	8.5	2.5
64.8	88	85
0	0	10
10	10	1
0	0	0
1	10	1
10	10	20
50.5	48	55.75
40	40	46
0	0	0
15	20	10
25	25	25
15	15	20
18	25	20
20	25	40
35	20	30
40	35	40
25	28	30
30	29	0
5	5	10
25	30	35
40	40	55
0	0	20
16	20	5.5
40	25	45
45	50.25	30
