A 18-24 female with middle_to_high income and no main shopping experience, who consumes tablea at a middle frequency, considers origin slightly important, has a high preference for chocolate, and is moderate award influence. The person's wtp are: 0, 0, 10.
A 35-44 male with middle_to_high income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 10, 10, 1.
A 25-34 female with middle_to_high income and no main shopping experience, who consumes tablea at a low frequency, considers origin moderately important, has a middle preference for chocolate, and is moderate award influence. The person's wtp are: 0, 0, 0.
A 25-34 female with middle_to_high income and yes main shopping experience, who consumes tablea at a high frequency, considers origin slightly important, has a high preference for chocolate, and is moderate award influence. The person's wtp are: 1, 10, 1.
A 35-44 male with low income and yes main shopping experience, who consumes tablea at a low frequency, considers origin very important, has a low preference for chocolate, and is high award influence. The person's wtp are: 10, 10, 20.
A 18-24 male with low income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 50.5, 48, 55.75.



A 18-24 male with low income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 50.5, 48, 55.75.
A 45+ male with low income and no main shopping experience, who consumes tablea at a middle frequency, considers origin moderately important, has a middle preference for chocolate, and is high award influence. The person's wtp are: 40, 40, 46.
A 45+ male with middle_to_high income and no main shopping experience, who consumes tablea at a low frequency, considers origin important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 0, 0, 0.
A 45+ female with middle_to_high income and no main shopping experience, who consumes tablea at a high frequency, considers origin important, has a middle preference for chocolate, and is moderate award influence. The person's wtp are: 15, 20, 10.
A 25-34 female with low income and yes main shopping experience, who consumes tablea at a high frequency, considers origin not important, has a high preference for chocolate, and is moderate award influence. The person's wtp are: 25, 25, 25.
A 45+ female with low income and yes main shopping experience, who consumes tablea at a low frequency, considers origin moderately important, has a low preference for chocolate, and is high award influence. The person's wtp are: 15, 15, 20.



A 45+ female with low income and yes main shopping experience, who consumes tablea at a low frequency, considers origin moderately important, has a low preference for chocolate, and is high award influence. The person's wtp are: 15, 15, 20.
A 45+ female with middle_to_high income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin moderately important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 18, 25, 20.
A 45+ female with low income and no main shopping experience, who consumes tablea at a low frequency, considers origin moderately important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 20, 25, 40.
A 45+ female with low income and no main shopping experience, who consumes tablea at a high frequency, considers origin important, has a high preference for chocolate, and is moderate award influence. The person's wtp are: 35, 20, 30.
A 45+ female with middle_to_high income and yes main shopping experience, who consumes tablea at a high frequency, considers origin very important, has a high preference for chocolate, and is high award influence. The person's wtp are: 40, 35, 40.
A 45+ female with middle_to_high income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin slightly important, has a middle preference for chocolate, and is high award influence. The person's wtp are: 25, 28, 30.



A 45+ female with middle_to_high income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin slightly important, has a middle preference for chocolate, and is high award influence. The person's wtp are: 25, 28, 30.
A 45+ male with middle_to_high income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin very important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 30, 29, 0.
A 45+ female with low income and no main shopping experience, who consumes tablea at a middle frequency, considers origin very important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 5, 5, 10.
A 45+ female with middle_to_high income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin important, has a high preference for chocolate, and is moderate award influence. The person's wtp are: 25, 30, 35.
A 45+ female with low income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin moderately important, has a middle preference for chocolate, and is moderate award influence. The person's wtp are: 40, 40, 55.
A 45+ female with low income and yes main shopping experience, who consumes tablea at a high frequency, considers origin important, has a middle preference for chocolate, and is moderate award influence. The person's wtp are: 0, 0, 20.



A 45+ female with low income and no main shopping experience, who consumes tablea at a middle frequency, considers origin very important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 5, 5, 10.
A 45+ female with middle_to_high income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin important, has a high preference for chocolate, and is moderate award influence. The person's wtp are: 25, 30, 35.
A 45+ female with low income and yes main shopping experience, who consumes tablea at a middle frequency, considers origin moderately important, has a middle preference for chocolate, and is moderate award influence. The person's wtp are: 40, 40, 55.
A 45+ female with low income and yes main shopping experience, who consumes tablea at a high frequency, considers origin important, has a middle preference for chocolate, and is moderate award influence. The person's wtp are: 0, 0, 20.
A 45+ male with middle_to_high income and no main shopping experience, who consumes tablea at a low frequency, considers origin very important, has a low preference for chocolate, and is moderate award influence. The person's wtp are: 16, 20, 5.5.
A 25-34 female with low income and yes main shopping experience, who consumes tablea at a low frequency, considers origin slightly important, has a high preference for chocolate, and is moderate award influence. The person's wtp are: 40, 25, 45.
